"여수해상케이블카","전라남도 여수시 자산4길 39","여수 돌산과 자산공원을 잇는 1.5km구간의 국내 첫 해상케이블카로 바닥이 투명한 크리스탈 캐빈 15대(5인승)와 일반 캐빈 35대(8인승), 총 50대가 운행되고 있다. 아찔한 스릴감과 함께 맛보는 다도해의 전망과 여수밤바다 풍경이 한눈에 들어온다."
"국립국악원","서울특별시 서초구 남부순환로 2364","전통음악 및 무용의 계승과 발전을 위해 설립된 국립 음악기관으로 각종 국악 공연 및 연구, 진흥사업 등 다양한 활동을 펼치고 있다. 산하에 정악단, 무용단, 민속악단, 창작악단 등 네개의 전속 예술단과 예악당, 우면당, 풍류사랑방, 연희마당 등의 공연장, 국악박물관, 국악연수관 등의 시설을 갖추고 있다."
"헌인릉","서울특별시 서초구 헌인릉길 36-10","사적 제 194호인 이곳은 동쪽의 헌릉과 서쪽의 인릉으로 구성되어 있다. 헌릉은 조선 제3대 태종과 원경왕후 민씨의 쌍봉릉이며, 인릉은 조선 제23대 순조와 순원왕후 김씨의 동원합동 형태이다."
"매헌 윤봉길의사 기념관","서울특별시 서초구 매헌로 99","윤봉길의사의 업적과 살신성인 정신의 높은 뜻을 선양하고 계승 발전시키키 위하여 1988년 준공되었다. 기념관 1층에는 유품과 생애사진이 전시되어 있으며, 2층에는 사무처, 매헌연구원, 세미나실, 윤봉길 도서관 등을 갖추고 있다."
"고투몰","서울특별시 서초구 신반포로200","고속터미널 지하상가를 일컫는 고투몰은 카페, 음식점, 꽃시장 등 다양한 먹거리와 볼거리를 선사하는 곳이다. 의류, 신발, 각종 액세서리 등을 싸게 구입할 수 있으며, 계절에 맞는 만개한 꽃들을 구경할 수 있다."
"남당","","대하, 우럭, 새조개, 꽃게 등 사시사철 싱싱한 수산물을 맛볼수 있으며, 잔잔한 은빛 수면으로 석양이 아름다움을 느낄 수 있음"
"녹진관광지","","명량해전의 울둘목 해역이 한눈에 보이는 역사가 숨쉬는 관광지"
"회동관광지","전라남도 진도군 고군면 신비의바닷길 148","신비의바닷길이 열리는 축제명소"
"아리랑마을관광지","전라남도 진도군 임회면 아리랑길 95-5","예술인의 멋과 정취를 느낄수 있는 아리랑마을"
"변산해수욕장","전라북도 부안군 변산면 변산로 2086","국립공원 변산반도에 위치한 노을이 아름다운 해수욕장"
"광복로","부산광역시 중구 광복중앙로 1","패션·쇼핑거리로 중앙에는 21세기 도약의 이미지를 상징하는 `비상 2000` 조형물이 설치되어 있다. 매년 광복로 문화축제를 개최하는 볼거리, 즐길거리가 풍성한 문화예술의 거리이다."
"부산영화체험박물관","부산광역시 중구 대청로126번길 12","부산영화체험박물관은 대한민국을 대표하는 영화체험 복합문화공간입니다. 전국 최초의 영화관련 전문전시체험시설로 지상지상 4층, 지하 3층으로 구성된 본 체험박물관은 영화의 원리를 이해하고 제작의 즐거움을 체험할 수 있는 다양한 전시시설 및 영화의 과거와 미래를 연결하는 하이테크 시네마를 갖추고 있습니다."
"예술의전당","서울특별시 서초구 남부순환로 2406","수준높은 문화예술 콘텐츠와 편리한 시설, 감동적인 서비스가 조화를 이루는 우리나라 대표 복합문화공간이다. 예술가들의 열정이 고객 감동으로 이어지는 예술의 전당은 연간 300만명의 관람객이 찾는 문화놀이터이자 도심 속 문화 휴식공간이다."
