"심우장","서울특별시 성북구 성북로29길 24","만해 한용운의 일제강점기 머물던 집"
"길상사","서울특별시 성북구 선잠로5길 68(성북동)","최고급 요정에서 도심속 도량으로 환골탈퇴"
"한국가구박물관","서울특별시 성북구 대사관로121","한국의 전통가구를 한눈에 볼수있는 곳"
"반월호수","경기도 군포시 호수로 92","순환산책로가 조성되어 있고 아름다운 풍경으로 유명한 장소이다."
"초막골 생태공원","경기도 군포시 초막골길 216","수리산이 가진 자연적 환경과 조선시대 역사유적 등의 문화유산을 겸비한 생태문화공간이다."
"수리산 도립공원","경기도 군포시 속달로 347-4","군포시민에게 마음의 안식처로 사랑받고 있는 수리산은 규모가 크고 봉우리가 많아 능선이 여러 갈래로 굽이쳐 기호에 따라 다양한 산행을 할 수 있다."
"수리산 산림욕장","경기도 군포시 수리산로 6-2","도심 속에서 숲을 느낄 수 있는 공간으로 산림욕장을 걷는 내내 북카페, 발지압장, 운동기구 등 체험할 수 있는 시설들이 가득하다."
"철쭉동산","경기도 군포시 고산로 460","빈틈없이 심긴 철쭉꽃이 만개한 모습은 많은 사람들에게 사랑을 받으며 군포의 대표축제로 자리매김하였다."
"목포근대역사관 1관 (구, 일본영사관)","목포시 영산로 29번길 6","목포 최초의 서구적 근대 건축물로 건립당시의 내·외관을 거의 그대로 유지하고 있으며 목포 개항 이후 1900년 12월 일본영사관으로 지어져 광복 이후 목포시청, 시립도서관, 문화원으로 사용하다가 현재는 목포 근대역사관 1관으로 운영중에 있다"
"주문진해변관광지","강원도 강릉시 주문진읍 주문북로 222-30 일원","주문진해변관광지는 주문진읍 향호리에 위치하고 넓은 백사장과 수심이 얕고 바닷물이 맑아 가족 단위 피서지에 적합한 곳임."
"연곡해변관광지","강원도 강릉시 연곡면 해안로 1282 일원","연곡해변관광지"
"등명해변관광지","강원도 강릉시 강동면 정동등명길 2 일원","등명해변관광지"
"대관령어흘리관광지","강원도 강릉시 성산면 삼포암길 17 일원","성산면 대관령 어흘리 관광지"
"팔봉산관광지","강원도 홍천군 서면 한치골길 1124","8개의 암봉과 홍천강이 어우러진 아름다운 명산"
"소노벨비발디파크","강원도 홍천군 서면 한치골길 262","휴양과 레저, 골프 및 스키 등 국내 최대규모의 관광휴양단지"
"수리사","경기도 군포시 속달로 347-181","진흥왕 때 세워진 수리사는 6.25전쟁을 거치며 모든 건물들이 소실되었다가 꾸준히 복원되어 오늘에 이르고 있다."
"물누리체험관","경기도 군포시 호수로 170-85","물과 관련된 다양한 체험프로그램이 있는 물누리체험관"
"누리천문대","경기도 군포시 대야2로 139","천문우주체험관. 4D입체상영관, 플라네타리움 등 유익하고 알찬 시설을 갖춘 최첨단 과학문화 공간, 대야도서관 4층에 있다."
"괴강","충청북도 괴산군 괴산읍 충민로검승3길 10","달천을 중심으로 괴강국민여가캥핑장 농업역사박물관, 각종 체육시설등이 조성된 관광지"
